CustomerID,UnitPrice,Quantity,Discount,No_Customers,Country,Spend
RATTC,13,2,0,352,USA,245585
LEHMS,12.5,20,0,328,Germany,230285
QUEEN,13,28,0.15,203,Brazil,106926
BONAP,9.2,10,0.25,184,France,81358
NORTS,15,3,0,135,UK,58971
ERNSH,33.25,130,0,125,Austria,128004
LILAS,6,10,0.05,118,Venezuela,56811
FOLKO,18,50,0.1,97,Sweden,54495
BOTTM,12.5,42,0,75,Canada,50196
PERIC,4.5,20,0,72,Mexico,23582
SUPRD,21.5,30,0,56,Belgium,33825
HUNGO,9.65,30,0.1,55,Ireland,49980
WARTH,6,20,0.1,54,Finland,18810
GODOS,15,4,0,54,Spain,17983
REGGC,15,12,0.2,53,Italy,15770
RICSU,18,2,0.15,52,Switzerland,31693
SIMOB,17.45,14,0.05,46,Denmark,32661
CACTU,14,20,0,34,Argentina,8119
PRINI,14,14,0,30,Portugal,11472
SANTG,13,18,0,16,Norway,5735
WOLZA,49.3,12,0,16,Poland,3532
